,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
324,324,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
325,325,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
326,326,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
327,327,cg,VALID,1.0981298999999998,1, 1.7130235671997E+01,1,1.0,1.0
328,328,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
329,329,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
330,330,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
331,331,cg,INVALID,1.313937,1, 1.3275024890900E+00,0,1.0,1.0
332,332,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
333,333,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
334,334,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
335,335,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
336,336,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
337,337,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
338,338,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
339,339,cg,VALID,1.1133215,1, 1.7129573822021E+01,1,1.0,1.0
340,340,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
341,341,cg,INVALID,1.260849,1, 1.2649824142456E+01,0,1.0,1.0
342,342,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
343,343,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
344,344,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
345,345,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
346,346,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
347,347,cg,INVALID,1.189135,1,                -NAN,0,1.0,1.0
348,348,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
349,349,cg,INVALID,1.216722,1,-2.4544379899497E+32,0,1.0,1.0
350,350,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
351,351,cg,INVALID,1.244244,1,                -NAN,0,1.0,1.0
352,352,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
353,353,cg,VALID,1.1011405,1, 1.7130235671997E+01,1,1.0,1.0
354,354,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
355,355,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
356,356,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
357,357,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
358,358,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
359,359,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
360,360,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
361,361,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
362,362,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
363,363,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
364,364,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
365,365,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
366,366,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
367,367,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
368,368,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
369,369,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
370,370,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
371,371,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
372,372,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
373,373,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
374,374,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
375,375,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
376,376,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
377,377,cg,INVALID,1.411009,1,                -NAN,0,1.0,1.0
378,378,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
379,379,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
380,380,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
381,381,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
382,382,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
383,383,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
384,384,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
385,385,cg,VALID,1.0839602,1, 1.7130235671997E+01,1,1.0,1.0
386,386,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
387,387,cg,INVALID,1.192038,1, 7.1265898437500E+03,0,1.0,1.0
388,388,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
389,389,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
390,390,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
391,391,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
392,392,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
393,393,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
394,394,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
395,395,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
396,396,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
397,397,cg,INVALID,1.277587,1, 1.2650092124939E+01,0,1.0,1.0
398,398,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
399,399,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
400,400,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
401,401,cg,INVALID,1.203892,1,                -NAN,0,1.0,1.0
402,402,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
403,403,cg,INVALID,1.408003,1,                -NAN,0,1.0,1.0
404,404,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
405,405,cg,VALID,1.2130999,1, 1.7130235671997E+01,1,1.0,1.0
406,406,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
407,407,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
408,408,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
409,409,cg,VALID,3.324389,0, 1.7130235671997E+01,1,1.0,1.0
410,410,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
411,411,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
412,412,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
413,413,cg,VALID,1.3452339999999998,1, 1.7130235671997E+01,1,1.0,1.0
414,414,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
415,415,cg,VALID,1.1002319000000003,1, 1.7130235671997E+01,1,1.0,1.0
416,416,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
417,417,cg,VALID,1.0924105999999998,1, 1.7130235671997E+01,1,1.0,1.0
418,418,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
419,419,cg,VALID,1.118956,1, 1.7130235671997E+01,1,1.0,1.0
420,420,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
421,421,cg,VALID,1.0592668,1, 1.7130235671997E+01,1,1.0,1.0
422,422,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
423,423,cg,INVALID,1.256449,1, 7.1265898437500E+03,0,1.0,1.0
424,424,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
425,425,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
426,426,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
427,427,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
428,428,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
429,429,cg,VALID,1.1001690000000002,1, 1.7130235671997E+01,1,1.0,1.0
430,430,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
431,431,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
432,432,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
433,433,cg,INVALID,1.260065,1, 1.3275024890900E+00,0,1.0,1.0
434,434,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
435,435,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
436,436,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
437,437,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
438,438,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
439,439,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
440,440,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
441,441,cg,VALID,1.0141135000000001,1, 1.7129573822021E+01,1,1.0,1.0
442,442,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
443,443,cg,INVALID,1.269587,1, 1.2649824142456E+01,0,1.0,1.0
444,444,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
445,445,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
446,446,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
447,447,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
448,448,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
449,449,cg,INVALID,1.200408,1,                -NAN,0,1.0,1.0
450,450,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
451,451,cg,INVALID,1.272827,1,-2.4544379899497E+32,0,1.0,1.0
452,452,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
453,453,cg,INVALID,1.36578,1,                -NAN,0,1.0,1.0
454,454,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
